frequency_Hz,gain_dB,phase_deg
1,-0.000171449204949,-0.359995262702
1.01157945426,-0.000175442689291,-0.364163699759
1.02329299228,-0.000179529190037,-0.368380401121
1.03514216668,-0.000183710873627,-0.372645925522
1.04712854805,-0.000187989956976,-0.376960838165
1.05925372518,-0.000192368708614,-0.381325710791
1.07151930524,-0.000196849449912,-0.385741121756
1.08392691402,-0.000201434556295,-0.390207656109
1.09647819614,-0.000206126458512,-0.394725905667
1.10917481526,-0.000210927643928,-0.399296469093
1.1220184543,-0.000215840657823,-0.403919951979
1.13501081567,-0.000220868104757,-0.40859696692
1.1481536215,-0.000226012649951,-0.413328133602
1.16144861384,-0.000231277020688,-0.418114078877
1.17489755494,-0.000236664007766,-0.42295543685
1.18850222744,-0.000242176466974,-0.42785284896
1.20226443462,-0.000247817320608,-0.432806964069
1.21618600065,-0.000253589559021,-0.437818438542
1.23026877081,-0.000259496242193,-0.442887936338
1.24451461177,-0.000265540501375,-0.448016129097
1.25892541179,-0.000271725540732,-0.453203696225
1.27350308102,-0.000278054639044,-0.458451324989
1.28824955169,-0.000284531151446,-0.463759710604
1.30316677845,-0.000291158511201,-0.469129556327
1.31825673856,-0.00029794023153,-0.474561573547
1.33352143216,-0.000304879907453,-0.480056481882
1.34896288259,-0.000311981217715,-0.485615009271
1.36458313659,-0.000319247926721,-0.491237892073
1.3803842646,-0.000326683886537,-0.496925875161
1.39636836106,-0.000334293038928,-0.502679712023
1.41253754462,-0.000342079417445,-0.508500164859
1.42889395851,-0.000350047149567,-0.514388004684
1.44543977075,-0.000358200458875,-0.520344011427
1.46217717446,-0.000366543667311,-0.526368974034
1.47910838817,-0.000375081197446,-0.532463690576
1.49623565609,-0.000383817574827,-0.538628968349
1.51356124844,-0.000392757430389,-0.544865623982
1.53108746168,-0.000401905502884,-0.551174483546
1.54881661891,-0.000411266641415,-0.557556382661
1.56675107011,-0.000420845807985,-0.564012166608
1.58489319246,-0.000430648080135,-0.570542690439
1.60324539069,-0.000440678653631,-0.577148819087
1.62181009736,-0.000450942845214,-0.583831427487
1.6405897732,-0.000461446095421,-0.590591400682
1.65958690744,-0.000472193971461,-0.597429633948
1.67880401812,-0.000483192170156,-0.604347032905
1.69824365246,-0.000494446520976,-0.61134451364
1.71790838716,-0.000505962989113,-0.618423002827
1.73780082875,-0.000517747678637,-0.625583437846
1.75792361396,-0.000529806835741,-0.632826766913
1.77827941004,-0.000542146852031,-0.640153949195
1.79887091513,-0.000554774267934,-0.647565954943
