time_s,vin_V,vout_V
0,0,0
1e-07,0,0
2e-07,0,0
4e-07,0,0
8e-07,0,0
1.6e-06,0,0
3.2e-06,0,0
6.4e-06,0,0
1.28e-05,0,0
2.28e-05,0,0
3.28e-05,0,0
4.28e-05,0,0
5.28e-05,0,0
6.28e-05,0,0
7.28e-05,0,0
8.28e-05,0,0
9.28e-05,0,0
0.0001028,0,0
0.0001128,0,0
0.0001228,0,0
0.0001328,0,0
0.0001428,0,0
0.0001528,0,0
0.0001628,0,0
0.0001728,0,0
0.0001828,0,0
0.0001928,0,0
0.0002028,0,0
0.0002128,0,0
0.0002228,0,0
0.0002328,0,0
0.0002428,0,0
0.0002528,0,0
0.0002628,0,0
0.0002728,0,0
0.0002828,0,0
0.0002928,0,0
0.0003028,0,0
0.0003128,0,0
0.0003228,0,0
0.0003328,0,0
0.0003428,0,0
0.0003528,0,0
0.0003628,0,0
0.0003728,0,0
0.0003828,0,0
0.0003928,0,0
0.0004028,0,0
0.0004128,0,0
0.0004228,0,0
0.0004328,0,0
0.0004428,0,0
0.0004528,0,0
0.0004628,0,0
0.0004728,0,0
0.0004828,0,0
0.0004928,0,0
0.0005028,0,0
0.0005128,0,0
0.0005228,0,0
0.0005328,0,0
0.0005428,0,0
0.0005528,0,0
0.0005628,0,0
0.0005728,0,0
0.0005828,0,0
0.0005928,0,0
0.0006028,0,0
0.0006128,0,0
0.0006228,0,0
0.0006328,0,0
0.0006428,0,0
0.0006528,0,0
0.0006628,0,0
0.0006728,0,0
0.0006828,0,0
0.0006928,0,0
0.0007028,0,0
0.0007128,0,0
0.0007228,0,0
0.0007328,0,0
0.0007428,0,0
0.0007528,0,0
0.0007628,0,0
0.0007728,0,0
0.0007828,0,0
0.0007928,0,0
0.0008028,0,0
0.0008128,0,0
0.0008228,0,0
0.0008328,0,0
0.0008428,0,0
0.0008528,0,0
0.0008628,0,0
0.0008728,0,0
0.0008828,0,0
0.0008928,0,0
0.0009028,0,0
0.0009128,0,0
0.0009228,0,0
0.0009328,0,0
0.0009428,0,0
0.0009528,0,0
0.0009628,0,0
0.0009728,0,0
0.0009828,0,0
0.0009928,0,0
0.001,0,0
0.00100000002044,2.0441021922e-05,4.17835370269e-13
0.00100000006132,6.13230659828e-05,2.08917683869e-12
0.00100000014309,0.000143087153888,1.0445883929e-11
0.001000000237,0.000237002016753,2.8293893288e-11
0.00100000042483,0.000424831742485,9.04499089075e-11
0.00100000080049,0.000800491194164,3.20601902943e-10
0.00100000155181,0.00155181009752,1.20426554349e-09
0.00100000305445,0.00305444790424,4.66502984406e-09
0.00100000605972,0.00605972351746,1.83602937998e-08
0.00100001207027,0.0120702747441,7.2845661345e-08
0.00100002409138,0.0240913771972,2.90194940701e-07
0.00100004813358,0.0481335821034,1.1584011624e-06
0.00100009621799,0.0962179919157,4.62879214662e-06
0.00100019229284,0.192292839589,1.8486998818e-05
0.00100030956665,0.309566650507,4.79105929433e-05
0.00100045707368,0.457073684778,0.000104441777525
0.00100064483441,0.644834413422,0.00020785999223
0.00100087979679,0.879796793114,0.00038690560668
0.001001,1,0.000499831113794
0.00100100006391,1,0.000499894996676
0.00100100019174,1,0.000500022762431
0.0010010004474,1,0.000500278293894
0.00100100095872,1,0.000500789356622
0.00100100198136,1,0.000501811481294
0.00100100402663,1,0.000503855727503
0.00100100811718,1,0.000507944207379
0.00100101629828,1,0.000516121116957
0.00100103266048,1,0.000532474735427
0.00100106538487,1,0.000565181169637
0.00100113083366,1,0.000630590827268
0.00100126173124,1,0.000761397300421
0.00100152352639,1,0.0010229588867
0.0010020471167,1,0.00154587668635
0.00100309429732,1,0.00259089133143
0.00100518865855,1,0.00467764109859
0.00100937738102,1,0.00883805681172
0.00101775482595,1,0.0171068258326
0.0010276043483,1,0.0267404110118
0.0010376043483,1,0.0364245860266
0.0010476043483,1,0.046012401091
0.0010576043483,1,0.0555048150105
0.0010676043483,1,0.0649027770502
0.0010776043483,1,0.0742072270298
0.0010876043483,1,0.0834190954176
0.0010976043483,1,0.0925393034234
0.0011076043483,1,0.101568763091
0.0011176043483,1,0.110508377388
0.0011276043483,1,0.1193590403
0.0011376043483,1,0.128121636914
0.0011476043483,1,0.136797043512
0.0011576043483,1,0.145386127656
0.0011676043483,1,0.153889748276
0.0011776043483,1,0.162308755756
0.0011876043483,1,0.170643992017
0.0011976043483,1,0.178896290604
0.0012076043483,1,0.187066476767
0.0012176043483,1,0.195155367546
0.0012276043483,1,0.203163771849
0.0012376043483,1,0.211092490537
0.0012476043483,1,0.218942316502
0.0012576043483,1,0.226714034745
0.0012676043483,1,0.234408422459
0.0012776043483,1,0.242026249102
0.0012876043483,1,0.249568276474
0.0012976043483,1,0.257035258797
0.0013076043483,1,0.264427942789
0.0013176043483,1,0.271747067737
0.0013276043483,1,0.27899336557
0.0013376043483,1,0.286167560938
0.0013476043483,1,0.293270371277
0.0013576043483,1,0.300302506886
0.0013676043483,1,0.307264670996
0.0013776043483,1,0.314157559842
0.0013876043483,1,0.320981862729
0.0013976043483,1,0.327738262105
0.0014076043483,1,0.334427433627
0.0014176043483,1,0.341050046227
0.0014276043483,1,0.347606762185
0.0014376043483,1,0.354098237188
0.0014476043483,1,0.3605251204
0.0014576043483,1,0.366888054526
0.0014676043483,1,0.373187675874
0.0014776043483,1,0.379424614422
0.0014876043483,1,0.385599493881
0.0014976043483,1,0.391712931753
0.0015076043483,1,0.397765539397
0.0015176043483,1,0.403757922089
0.0015276043483,1,0.409690679084
0.0015376043483,1,0.41556440367
