time_s,vin_V,vgs_V,vout_V
0,0,2,3.29457363701
2e-08,1.25663705813e-06,2.00000125664,3.29456948371
4e-08,2.51327409641e-06,2.00000251327,3.2945653304
8e-08,5.02654803407e-06,2.00000502655,3.29455702378
1.6e-07,1.00530947981e-05,2.00001005309,3.29454041049
3.2e-07,2.01061794361e-05,2.00002010617,3.29450718374
6.4e-07,4.02122775912e-05,2.00004021222,3.29444072965
1.28e-06,8.04239049364e-05,2.00008042369,3.29430782012
2.56e-06,0.000160842607967,2.00016084175,3.29404200313
4.56e-06,0.000286474051904,2.00028647133,3.29362670473
6.56e-06,0.000412060258267,2.00041205463,3.29321151368
8.56e-06,0.000537581395539,2.00053757181,3.2927964956
1.056e-05,0.000663017642476,2.00066300305,3.2923817161
1.256e-05,0.000788349191242,2.00078832855,3.2919672408
1.456e-05,0.000913556250531,2.00091352852,3.29155313527
1.656e-05,0.0010386190487,2.00103858319,3.29113946506
1.856e-05,0.00116351783688,2.0011634728,3.29072629565
2.056e-05,0.0012882328921,2.00128817764,3.29031369249
2.256e-05,0.00141274452042,2.00141267801,3.28990172094
2.456e-05,0.00153703306,2.00153695426,3.28949044629
2.656e-05,0.00166107888425,2.00166098676,3.28907993374
2.856e-05,0.00178486240488,2.00178475593,3.28867024839
3.056e-05,0.00190836407504,2.00190824221,3.28826145523
3.256e-05,0.0020315643924,2.00203142611,3.28785361913
3.456e-05,0.00215444390219,2.00215428818,3.28744680483
3.656e-05,0.00227698320031,2.00227680901,3.28704107691
3.856e-05,0.00239916293639,2.00239896927,3.28663649984
4.056e-05,0.00252096381683,2.00252074965,3.28623313788
4.256e-05,0.00264236660786,2.00264213093,3.28583105515
4.456e-05,0.00276335213857,2.00276309394,3.28543031558
4.656e-05,0.00288390130394,2.00288361958,3.28503098289
4.856e-05,0.00300399506786,2.00300368881,3.28463312062
5.056e-05,0.00312361446615,2.00312328268,3.28423679208
5.256e-05,0.00324274060949,2.0032423823,3.28384206035
5.456e-05,0.00336135468651,2.00336096886,3.2834489883
5.656e-05,0.00347943796665,2.00347902364,3.28305763853
5.856e-05,0.0035969718032,2.003596528,3.28266807341
6.056e-05,0.00371393763621,2.00371346337,3.28228035501
6.256e-05,0.00383031699541,2.0038298113,3.28189454515
6.456e-05,0.00394609150316,2.00394555341,3.28151070535
6.656e-05,0.00406124287731,2.00406067142,3.28112889686
6.856e-05,0.00417575293413,2.00417514717,3.2807491806
7.056e-05,0.00428960359116,2.00428896256,3.28037161717
7.256e-05,0.00440277687005,2.00440209962,3.27999626686
7.456e-05,0.00451525489944,2.0045145405,3.27962318962
7.656e-05,0.00462701991774,2.00462626743,3.27925244504
7.856e-05,0.00473805427595,2.00473726277,3.27888409239
8.056e-05,0.00484834044047,2.004847509,3.27851819053
8.256e-05,0.00495786099583,2.0049569887,3.27815479797
8.456e-05,0.00506659864746,2.0050656846,3.27779397284
8.656e-05,0.00517453622444,2.00517357951,3.27743577286
8.856e-05,0.00528165668216,2.00528065641,3.27708025535
9.056e-05,0.00538794310506,2.00538689838,3.27672747723
9.256e-05,0.00549337870928,2.00549228866,3.27637749497
9.456e-05,0.00559794684533,2.00559681059,3.27603036463
9.656e-05,0.00570163100068,2.00570044767,3.27568614182
9.856e-05,0.00580441480239,2.00580318354,3.27534488171
0.00010056,0.00590628201973,2.00590500197,3.27500663898
0.00010256,0.00600721656666,2.00600588689,3.27467146788
0.00010456,0.00610720250446,2.00610582236,3.27433942215
0.00010656,0.00620622404419,2.00620479261,3.27401055506
0.00010856,0.00630426554919,2.006302782,3.27368491937
0.00011056,0.00640131153759,2.00639977506,3.27336256735
0.00011256,0.00649734668468,2.00649575648,3.27304355074
0.00011456,0.00659235582542,2.00659071109,3.27272792077
0.00011656,0.00668632395675,2.00668462391,3.27241572813
0.00011856,0.00677923624001,2.0067774801,3.27210702298
0.00012056,0.00687107800329,2.006869265,3.27180185491
0.00012256,0.0069618347437,2.00695996412,3.27150027299
0.00012456,0.00705149212969,2.00704956313,3.27120232568
0.00012656,0.00714003600334,2.00713804789,3.27090806091
0.00012856,0.00722745238253,2.00722540442,3.27061752599
0.00013056,0.00731372746321,2.00731161893,3.27033076767
0.00013256,0.00739884762154,2.00739667781,3.27004783209
0.00013456,0.00748279941606,2.00748056761,3.26976876477
0.00013656,0.0075655695898,2.0075632751,3.26949361066
0.00013856,0.00764714507241,2.00764478722,3.26922241404
0.00014056,0.00772751298216,2.00772509109,3.26895521859
0.00014256,0.00780666062803,2.00780417403,3.26869206735
0.00014456,0.00788457551169,2.00788202355,3.26843300272
0.00014656,0.00796124532947,2.00795862737,3.26817806643
0.00014856,0.00803665797433,2.00803397338,3.26792729959
0.00015056,0.00811080153773,2.00810804968,3.26768074261
0.00015256,0.00818366431154,2.00818084459,3.26743843524
0.00015456,0.00825523478989,2.00825234659,3.26720041656
0.00015656,0.00832550167097,2.00832254441,3.26696672496
0.00015856,0.00839445385883,2.00839142696,3.26673739814
0.00016056,0.0084620804651,2.00845898335,3.2665124731
0.00016256,0.00852837081078,2.00852520293,3.26629198613
0.00016456,0.00859331442784,2.00859007524,3.26607597283
0.00016656,0.00865690106094,2.00865359002,3.26586446806
0.00016856,0.008719120669,2.00871573726,3.26565750598
0.00017056,0.00877996342684,2.00877650713,3.26545512
0.00017256,0.00883941972667,2.00883589004,3.2652573428
0.00017456,0.00889748017966,2.00889387662,3.26506420634
0.00017656,0.00895413561738,2.00895045771,3.26487574183
0.00017856,0.00900937709329,2.00900562437,3.26469197969
0.00018056,0.00906319588412,2.00905936789,3.26451294965
0.00018256,0.00911558349125,2.00911167978,3.26433868062
0.00018456,0.00916653164207,2.00916255179,3.26416920078
0.00018656,0.00921603229129,2.00921197588,3.26400453753
0.00018856,0.00926407762218,2.00925994424,3.26384471749
0.00019056,0.00931066004781,2.00930644931,3.2636897665
0.00019256,0.0093557722123,2.00935148373,3.26353970963
0.00019456,0.00939940699189,2.0093950404,3.26339457113
0.00019656,0.00944155749616,2.00943711244,3.2632543745
0.00019856,0.00948221706905,2.0094776932,3.26311914241
0.00020056,0.00952137928994,2.00951677628,3.26298889674
0.00020256,0.00955903797467,2.0095543555,3.26286365856
0.00020456,0.00959518717649,2.00959042493,3.26274344815
0.00020656,0.00962982118702,2.00962497888,3.26262828495
0.00020856,0.00966293453716,2.00965801188,3.26251818761
0.00021056,0.00969452199792,2.00968951873,3.26241317394
0.00021256,0.00972457858127,2.00971949444,3.26231326095
0.00021456,0.00975309954093,2.00974793429,3.26221846481
0.00021656,0.00978008037311,2.00977483377,3.26212880087
0.00021856,0.00980551681723,2.00980018865,3.26204428365
0.00022056,0.00982940485657,2.00982399493,3.26196492683
0.00022256,0.00985174071894,2.00984624883,3.26189074326
0.00022456,0.00987252087725,2.00986694685,3.26182174496
0.00022656,0.00989174205006,2.00988608572,3.26175794311
0.00022856,0.00990940120213,2.00990366241,3.26169934802
0.00023056,0.00992549554488,2.00991967416,3.2616459692
0.00023256,0.00994002253683,2.00993411843,3.2615978153
0.00023456,0.00995297988399,2.00994699294,3.2615548941
0.00023656,0.00996436554024,2.00995829565,3.26151721257
0.00023856,0.00997417770767,2.00996802479,3.26148477681
0.00024056,0.00998241483681,2.00997617882,3.26145759207
0.00024256,0.00998907562693,2.00998275645,3.26143566275
0.00024456,0.00999415902621,2.00998775664,3.26141899242
0.00024656,0.00999766423192,2.0099911786,3.26140758376
0.00024856,0.00999959069056,2.00999302179,3.26140143864
0.00025056,0.00999993809791,2.00999328592,3.26140055803
0.00025256,0.0099987063991,2.00999197095,3.2614049421
0.00025456,0.00999589578865,2.00998907709,3.26141459011
0.00025656,0.00999150671038,2.00998460478,3.26142950053
0.00025856,0.00998553985737,2.00997855475,3.26144967091
0.00026056,0.00997799617187,2.00997092794,3.26147509801
0.00026256,0.00996887684509,2.00996172556,3.2615057777
0.00026456,0.00995818331711,2.00995094907,3.26154170501
0.00026656,0.00994591727654,2.00993860015,3.26158287412
0.00026856,0.00993208066033,2.00992468077,3.26162927836
0.00027056,0.00991667565345,2.00990919312,3.26168091021
0.00027256,0.00989970468853,2.00989213965,3.26173776132
0.00027456,0.00988117044547,2.00987352305,3.26179982247
0.00027656,0.00986107585106,2.00985334626,3.26186708361
0.00027856,0.00983942407845,2.00983161247,3.26193953385
0.00028056,0.00981621854673,2.00980832511,3.26201716145
0.00028256,0.0097914629203,2.00978348785,3.26209995384
0.00028456,0.00976516110836,2.00975710462,3.26218789763
0.00028656,0.00973731726429,2.00972917958,3.26228097856
0.00028856,0.00970793578495,2.00969971715,3.26237918157
0.00029056,0.00967702131,2.00966872197,3.26248249075
0.00029256,0.00964457872121,2.00963619894,3.26259088939
0.00029456,0.00961061314164,2.0096021532,3.26270435994
0.00029656,0.00957512993484,2.00956659013,3.26282288402
0.00029856,0.00953813470403,2.00952951533,3.26294644247
0.00030056,0.00949963329118,2.00949093466,3.26307501528
0.00030256,0.00945963177611,2.00945085423,3.26320858165
0.00030456,0.00941813647552,2.00940928034,3.26334711996
0.00030656,0.009375153942,2.00936621958,3.26349060782
0.00030856,0.009330690963,2.00932167873,3.26363902199
0.00031056,0.00928475455973,2.00927566484,3.26379233848
0.00031256,0.00923735198608,2.00922818517,3.2639505325
0.00031456,0.00918849072746,2.00917924721,3.26411357845
0.00031656,0.00913817849965,2.0091288587,3.26428144999
0.00031856,0.00908642324752,2.00907702759,3.26445411996
0.00032056,0.00903323314383,2.00902376206,3.26463156046
0.00032256,0.0089786165879,2.00896907054,3.2648137428
0.00032456,0.00892258220433,2.00891296165,3.26500063755
0.00032656,0.0088651388416,2.00885544425,3.26519221451
0.00032856,0.00880629557068,2.00879652743,3.26538844272
0.00033056,0.0087460616836,2.00873622049,3.26558929049
0.00033256,0.00868444669199,2.00867453295,3.26579472537
0.00033456,0.00862146032558,2.00861147456,3.2660047142
0.00033656,0.00855711253064,2.00854705527,3.26621922306
0.00033856,0.00849141346843,2.00848128526,3.26643821733
0.00034056,0.0084243735136,2.0084141749,3.26666166166
0.00034256,0.00835600325254,2.00834573481,3.26688951999
0.00034456,0.00828631348169,2.00827597578,3.26712175554
0.00034656,0.00821531520589,2.00820490884,3.26735833087
0.00034856,0.00814301963658,2.00813254519,3.26759920779
0.00035056,0.00806943819008,2.00805889628,3.26784434748
0.00035256,0.00799458248574,2.00798397373,3.2680937104
0.00035456,0.00791846434415,2.00790778938,3.26834725636
0.00035656,0.00784109578524,2.00783035524,3.26860494448
0.00035856,0.00776248902642,2.00775168356,3.26886673324
0.00036056,0.00768265648059,2.00767178675,3.26913258046
0.00036256,0.00760161075424,2.00759067743,3.26940244331
0.00036456,0.00751936464544,2.00750836841,3.26967627834
0.00036656,0.00743593114179,2.00742487268,3.26995404146
0.00036856,0.00735132341841,2.00734020344,3.27023568794
0.00037056,0.00726555483585,2.00725437404,3.27052117245
0.00037256,0.00717863893795,2.00716739805,3.27081044906
0.00037456,0.00709058944975,2.0070792892,3.27110347123
0.00037656,0.00700142027527,2.00699006141,3.27140019182
0.00037856,0.00691114549537,2.00689972875,3.27170056311
0.00038056,0.00681977936548,2.00680830551,3.27200453683
0.00038256,0.00672733631338,2.0067158061,3.2723120641
0.00038456,0.00663383093688,2.00662224515,3.27262309551
0.00038656,0.00653927800157,2.00652763743,3.27293758108
0.00038856,0.00644369243847,2.00643199786,3.27325547031
0.00039056,0.00634708934163,2.00633534157,3.27357671215
0.00039256,0.0062494839658,2.00623768381,3.27390125501
0.00039456,0.00615089172401,2.00613904,3.27422904682
0.00039656,0.00605132818511,2.00603942571,3.27456003497
0.00039856,0.00595080907135,2.00593885669,3.27489416636
0.00040056,0.00584935025585,2.00583734881,3.2752313874
0.00040256,0.00574696776013,2.00573491809,3.27557164402
0.00040456,0.00564367775158,2.00563158072,3.27591488168
0.00040656,0.0055394965409,2.00552735302,3.27626104538
0.00040856,0.00543444057949,2.00542225143,3.27661007964
0.00041056,0.00532852645692,2.00531629257,3.27696192856
0.00041256,0.00522177089825,2.00520949315,3.27731653581
0.00041456,0.00511419076142,2.00510187005,3.27767384461
0.00041656,0.00500580303459,2.00499344026,3.27803379778
0.00041856,0.00489662483343,2.0048842209,3.27839633773
0.00042056,0.00478667339844,2.00477422922,3.27876140646
0.00042256,0.00467596609224,2.00466348259,3.2791289456
0.00042456,0.00456452039678,2.0045519985,3.27949889638
0.00042656,0.00445235391064,2.00443979455,3.2798711997
0.00042856,0.0043394843462,2.00432688846,3.28024579605
0.00043056,0.00422592952688,2.00421329805,3.28062262562
0.00043256,0.0041117073843,2.00409904127,3.28100162821
0.00043456,0.00399683595546,2.00398413617,3.28138274334
0.00043656,0.00388133337989,2.00386860087,3.28176591019
0.00043856,0.00376521789678,2.00375245363,3.28215106761
0.00044056,0.00364850784212,2.00363571279,3.28253815419
0.00044256,0.00353122164578,2.00351839679,3.2829271082
0.00044456,0.0034133778286,2.00340052414,3.28331786764
0.00044656,0.0032949949995,2.00328211347,3.28371037025
0.00044856,0.00317609185249,2.00316318347,3.28410455351
0.00045056,0.00305668716375,2.00304375292,3.28450035463
0.00045256,0.00293679978868,2.00292384068,3.28489771061
0.00045456,0.00281644865888,2.00280346568,3.2852965582
0.00045656,0.00269565277919,2.00268264694,3.28569683395
0.00045856,0.00257443122467,2.00256140354,3.28609847419
0.00046056,0.00245280313762,2.00243975461,3.28650141507
0.00046256,0.00233078772452,2.00231771938,3.28690559252
0.00046456,0.00220840425302,2.0021953171,3.28731094233
0.00046656,0.00208567204888,2.00207256712,3.2877174001
0.00046856,0.00196261049296,2.0019494888,3.28812490129
0.00047056,0.00183923901808,2.00182610159,3.2885333812
0.00047256,0.00171557710604,2.00170242498,3.28894277502
0.00047456,0.00159164428449,2.00157847849,3.28935301778
0.00047656,0.00146746012386,2.00145428169,3.28976404443
0.00047856,0.00134304423426,2.0013298542,3.2901757898
0.00048056,0.0012184162624,2.00120521567,3.29058818863
0.00048256,0.0010935958885,2.00108038577,3.29100117557
0.00048456,0.000968602823125,2.00095538422,3.29141468521
0.00048656,0.000843456804137,2.00083023076,3.29182865208
0.00048856,0.000718177593543,2.00070494516,3.29224301064
0.00049056,0.000592784974381,2.00057954718,3.29265769533
0.00049256,0.0004672987476,2.00045405665,3.29307264056
0.00049456,0.000341738728929,2.00032849337,3.29348778071
0.00049656,0.000216124745752,2.00020287717,3.29390305014
0.00049856,9.04766339719e-05,2.0000772279,3.29431838324
0.00050056,-3.51857651176e-05,1.99995156538,3.29473371439
0.00050256,-0.000160842607967,1.99982590946,3.29514897801
0.00050456,-0.000286474051904,1.99970027999,3.29556410852
0.00050656,-0.000412060258267,1.99957469681,3.29597904041
0.00050856,-0.000537581395539,1.99944917974,3.29639370823
0.00051056,-0.000663017642476,1.9993237486,3.29680804657
0.00051256,-0.000788349191242,1.99919842321,3.2972219901
0.00051456,-0.000913556250531,1.99907322335,3.29763547358
0.00051656,-0.0010386190487,1.9989481688,3.29804843187
0.00051856,-0.00116351783688,1.9988232793,3.29846079991
0.00052056,-0.0012882328921,1.99869857457,3.29887251278
0.00052256,-0.00141274452042,1.9985740743,3.29928350567
0.00052456,-0.00153703306,1.99844979816,3.29969371391
0.00052656,-0.00166107888425,1.99832576577,3.30010307297
0.00052856,-0.00178486240488,1.99820199672,3.30051151849
0.00053056,-0.00190836407504,1.99807851055,3.30091898626
0.00053256,-0.0020315643924,1.99795532676,3.30132541224
0.00053456,-0.00215444390219,1.9978324648,3.30173073258
0.00053656,-0.00227698320031,1.99770994407,3.30213488364
0.00053856,-0.00239916293639,1.99758778393,3.30253780197
0.00054056,-0.00252096381683,1.99746600366,3.30293942432
0.00054256,-0.00264236660786,1.99734462249,3.3033396877
0.00054456,-0.00276335213857,1.99722365959,3.30373852932
0.00054656,-0.00288390130394,1.99710313406,3.30413588665
0.00054856,-0.00300399506786,1.99698306494,3.30453169741
0.00055056,-0.00312361446615,1.99686347118,3.30492589958
0.00055256,-0.00324274060949,1.99674437167,3.30531843141
0.00055456,-0.00336135468651,1.99662578522,3.30570923144
0.00055656,-0.00347943796665,1.99650773055,3.30609823849
0.00055856,-0.0035969718032,1.99639022631,3.30648539168
0.00056056,-0.00371393763621,1.99627329104,3.30687063046
